elements,TILE_WIDTH,threadsPerBlock,blocks,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10240,8,64,1638400,3.042858,11268608,1635000,68,3,352,7000000,5767168,1024
10240,16,256,409600,1.822954,11268608,1635000,68,3,352,7000000,5767168,1024
10240,24,576,182329,1.938715,11268608,1635000,68,3,352,7000000,5767168,1024
10240,32,1024,102400,1.733208,11268608,1635000,68,3,352,7000000,5767168,1024
10240,50,2500,42025,0.354487,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,4096,25600,0.37512,11268608,1635000,68,3,352,7000000,5767168,1024
10240,90,8100,12996,0.359176,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,16384,6400,0.353783,11268608,1635000,68,3,352,7000000,5767168,1024
10240,150,22500,4761,0.365811,11268608,1635000,68,3,352,7000000,5767168,1024
10240,192,36864,2916,0.36794,11268608,1635000,68,3,352,7000000,5767168,1024
20480,8,64,6553600,33.458673,11268608,1635000,68,3,352,7000000,5767168,1024
20480,16,256,1638400,12.793915,11268608,1635000,68,3,352,7000000,5767168,1024
20480,24,576,729316,14.462973,11268608,1635000,68,3,352,7000000,5767168,1024
20480,32,1024,409600,11.674505,11268608,1635000,68,3,352,7000000,5767168,1024
20480,50,2500,168100,1.048007,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,4096,102400,0.991293,11268608,1635000,68,3,352,7000000,5767168,1024
20480,90,8100,51984,1.035979,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,16384,25600,1.016824,11268608,1635000,68,3,352,7000000,5767168,1024
20480,150,22500,18769,1.020493,11268608,1635000,68,3,352,7000000,5767168,1024
20480,192,36864,11449,0.9977,11268608,1635000,68,3,352,7000000,5767168,1024
40960,8,64,26214400,0.884395,11268608,1635000,68,3,352,7000000,5767168,1024
40960,16,256,6553600,0.877607,11268608,1635000,68,3,352,7000000,5767168,1024
40960,24,576,2913849,0.879699,11268608,1635000,68,3,352,7000000,5767168,1024
40960,32,1024,1638400,0.860537,11268608,1635000,68,3,352,7000000,5767168,1024
40960,50,2500,672400,0.859302,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,4096,409600,0.844044,11268608,1635000,68,3,352,7000000,5767168,1024
40960,90,8100,207936,0.857232,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,16384,102400,0.851622,11268608,1635000,68,3,352,7000000,5767168,1024
40960,150,22500,75076,0.87186,11268608,1635000,68,3,352,7000000,5767168,1024
